image_path,bbox,class_id,class_name,width,height
/mnt/MCP/Deepface/data/expression/train/image/11130.jpg,"[112, 112, 247, 279]",6,Neutral,384,576
/mnt/MCP/Deepface/data/expression/train/image/11054.jpg,"[40, 38, 77, 89]",6,Neutral,127,190
/mnt/MCP/Deepface/data/expression/train/image/08681.jpg,"[53, 45, 107, 121]",3,Happiness,168,252
/mnt/MCP/Deepface/data/expression/train/image/09777.jpg,"[69, 61, 177, 211]",6,Neutral,241,361
/mnt/MCP/Deepface/data/expression/train/image/08951.jpg,"[162, 118, 341, 373]",0,Surprise,490,736
/mnt/MCP/Deepface/data/expression/train/image/09613.jpg,"[62, 46, 125, 131]",2,Disgust,180,270
/mnt/MCP/Deepface/data/expression/train/image/12097.jpg,"[247, 176, 464, 482]",6,Neutral,672,1008
/mnt/MCP/Deepface/data/expression/train/image/08449.jpg,"[32, 29, 69, 76]",3,Happiness,105,158
/mnt/MCP/Deepface/data/expression/train/image/08835.jpg,"[262, 286, 465, 513]",5,Anger,750,1125
/mnt/MCP/Deepface/data/expression/train/image/02931.jpg,"[258, 196, 533, 597]",3,Happiness,794,1191
/mnt/MCP/Deepface/data/expression/train/image/01746.jpg,"[80, 61, 160, 161]",3,Happiness,220,331
/mnt/MCP/Deepface/data/expression/train/image/03717.jpg,"[148, 154, 384, 389]",3,Happiness,533,800
/mnt/MCP/Deepface/data/expression/train/image/05680.jpg,"[356, 344, 808, 879]",4,Sadness,1212,1818
/mnt/MCP/Deepface/data/expression/train/image/00960.jpg,"[89, 67, 182, 188]",5,Anger,264,396
/mnt/MCP/Deepface/data/expression/train/image/01622.jpg,"[70, 56, 146, 154]",3,Happiness,218,327
/mnt/MCP/Deepface/data/expression/train/image/00478.jpg,"[46, 41, 122, 141]",3,Happiness,181,272
/mnt/MCP/Deepface/data/expression/train/image/02855.jpg,"[51, 59, 193, 208]",3,Happiness,248,371
/mnt/MCP/Deepface/data/expression/train/image/00804.jpg,"[25, 23, 50, 49]",0,Surprise,70,105
/mnt/MCP/Deepface/data/expression/train/image/02429.jpg,"[38, 31, 74, 83]",3,Happiness,115,172
/mnt/MCP/Deepface/data/expression/train/image/06993.jpg,"[80, 84, 193, 220]",2,Disgust,307,460
/mnt/MCP/Deepface/data/expression/train/image/03673.jpg,"[284, 235, 632, 687]",4,Sadness,943,1414
/mnt/MCP/Deepface/data/expression/train/image/07865.jpg,"[142, 111, 308, 375]",3,Happiness,475,713
/mnt/MCP/Deepface/data/expression/train/image/02785.jpg,"[69, 61, 137, 152]",3,Happiness,213,320
/mnt/MCP/Deepface/data/expression/train/image/05448.jpg,"[49, 33, 150, 159]",3,Happiness,220,330
/mnt/MCP/Deepface/data/expression/train/image/04612.jpg,"[63, 59, 135, 152]",3,Happiness,216,324
/mnt/MCP/Deepface/data/expression/train/image/06643.jpg,"[49, 46, 101, 113]",0,Surprise,156,234
/mnt/MCP/Deepface/data/expression/train/image/07419.jpg,"[155, 108, 365, 375]",4,Sadness,480,720
/mnt/MCP/Deepface/data/expression/train/image/05834.jpg,"[19, 6, 47, 44]",5,Anger,56,84
/mnt/MCP/Deepface/data/expression/train/image/04776.jpg,"[183, 161, 369, 411]",2,Disgust,576,864
/mnt/MCP/Deepface/data/expression/train/image/01896.jpg,"[203, 147, 401, 419]",3,Happiness,578,867
/mnt/MCP/Deepface/data/expression/train/image/07901.jpg,"[45, 39, 97, 105]",3,Happiness,147,221
/mnt/MCP/Deepface/data/expression/train/image/05950.jpg,"[51, 48, 132, 144]",3,Happiness,187,281
/mnt/MCP/Deepface/data/expression/train/image/06727.jpg,"[51, 42, 101, 112]",5,Anger,141,212
/mnt/MCP/Deepface/data/expression/train/image/08566.jpg,"[37, 33, 73, 81]",0,Surprise,108,163
/mnt/MCP/Deepface/data/expression/train/image/08402.jpg,"[136, 119, 253, 262]",0,Surprise,382,574
/mnt/MCP/Deepface/data/expression/train/image/09658.jpg,"[34, 30, 67, 74]",2,Disgust,103,154
/mnt/MCP/Deepface/data/expression/train/image/09988.jpg,"[26, 23, 47, 48]",6,Neutral,69,104
/mnt/MCP/Deepface/data/expression/train/image/10321.jpg,"[66, 57, 142, 155]",6,Neutral,218,327
/mnt/MCP/Deepface/data/expression/train/image/10245.jpg,"[112, 112, 315, 325]",6,Neutral,449,673
/mnt/MCP/Deepface/data/expression/train/image/09490.jpg,"[30, 27, 60, 65]",2,Disgust,91,136
/mnt/MCP/Deepface/data/expression/train/image/12214.jpg,"[87, 73, 170, 185]",6,Neutral,253,380
